順位,名称・コード・市場,取引値,発行済み株式数,時価総額(百万円),単元株数
76,アサヒグループホールディングス(株)2502東証PRM掲示板,"1,94406/20","1,521,010,086株","2,956,844百万円",100
77,日本製鉄(株)5401東証PRM掲示板,"2,732.506/20","1,074,726,752株","2,936,691百万円",100
78,野村ホールディングス(株)8604東証PRM掲示板,898.306/20,"3,163,562,601株","2,841,828百万円",100
79,住友不動産(株)8830東証PRM掲示板,"5,90406/20","476,085,978株","2,810,812百万円",100
80,(株)オービック4684東証PRM掲示板,"5,47206/20","498,000,000株","2,725,056百万円",100
81,三井住友トラストグループ(株)8309東証PRM掲示板,"3,77406/20","713,283,780株","2,691,933百万円",100
82,(株)ＩＮＰＥＸ1605東証PRM掲示板,"2,12206/20","1,259,136,067株","2,671,887百万円",100
83,日本ペイントホールディングス(株)4612東証PRM掲示板,"1,111.506/20","2,370,512,215株","2,634,824百万円",100
84,京セラ(株)6971東証PRM掲示板,"1,68906/20","1,510,474,320株","2,551,191百万円",100
85,(株)カプコン9697東証PRM掲示板,"4,71206/20","533,011,246株","2,511,549百万円",100
86,日本酸素ホールディングス(株)4091東証PRM掲示板,"5,74006/20","433,092,837株","2,485,953百万円",100
87,セコム(株)9735東証PRM掲示板,"5,31306/20","466,599,796株","2,479,045百万円",100
88,アステラス製薬(株)4503東証PRM掲示板,"1,351.506/20","1,809,663,075株","2,445,760百万円",100
89,(株)アシックス7936東証PRM掲示板,"3,30306/20","734,482,236株","2,425,995百万円",100
90,(株)ＩＨＩ7013東証PRM掲示板,"15,40006/20","154,679,954株","2,382,071百万円",100
91,(株)ネクソン3659東証PRM掲示板,"2,841.506/20","822,990,816株","2,338,528百万円",100
92,住友電気工業(株)5802東証PRM掲示板,"2,86206/20","793,940,571株","2,272,258百万円",100
93,塩野義製薬(株)4507東証PRM掲示板,"2,50206/20","889,632,195株","2,225,860百万円",100
94,日本オラクル(株)4716東証STD掲示板,"17,27506/20","128,303,871株","2,216,449百万円",100
95,日本郵船(株)9101東証PRM掲示板,"5,05406/20","434,101,600株","2,193,949百万円",100
96,オリンパス(株)7733東証PRM掲示板,"1,87306/20","1,139,116,300株","2,133,565百万円",100
97,(株)フジクラ5803東証PRM掲示板,"6,86006/20","295,863,421株","2,029,623百万円",100
98,ユニ・チャーム(株)8113東証PRM掲示板,"1,08806/20","1,862,502,957株","2,026,403百万円",100
99,積水ハウス(株)1928東証PRM掲示板,"3,02106/20","663,122,166株","2,003,292百万円",100
100,鹿島1812東証PRM掲示板,"3,75606/20","528,656,011株","1,985,632百万円",100
101,ＥＮＥＯＳホールディングス(株)5020東証PRM掲示板,726.406/20,"2,706,766,549株","1,966,195百万円",100
102,(株)光通信9435東証PRM掲示板,"42,57006/20","44,269,642株","1,884,559百万円",100
103,キリンホールディングス(株)2503東証PRM掲示板,"2,03706/20","914,000,000株","1,861,818百万円",100
104,(株)良品計画7453東証PRM掲示板,"6,60406/20","280,780,000株","1,854,271百万円",100
105,(株)ＳＵＢＡＲＵ7270東証PRM掲示板,"2,509.506/20","733,057,473株","1,839,608百万円",100
106,関西電力(株)9503東証PRM掲示板,"1,64606/20","1,114,927,528株","1,835,171百万円",100
107,日東電工(株)6988東証PRM掲示板,"2,58306/20","706,760,750株","1,825,563百万円",100
108,(株)クボタ6326東証PRM掲示板,"1,56906/20","1,150,896,846株","1,805,757百万円",100
109,東京ガス(株)9531東証PRM掲示板,"4,77506/20","371,090,859株","1,771,959百万円",100
110,(株)サンリオ8136東証PRM掲示板,"6,91006/20","255,408,303株","1,764,871百万円",100
111,(株)シマノ7309東証PRM掲示板,"20,12006/20","87,710,000株","1,764,725百万円",100
112,(株)Ｔ＆Ｄホールディングス8795東証PRM掲示板,"3,22806/20","544,000,000株","1,756,032百万円",100
113,(株)商船三井9104東証PRM掲示板,"4,81306/20","362,841,027株","1,746,354百万円",100
114,楽天グループ(株)4755東証PRM掲示板,806.806/20,"2,158,498,300株","1,741,476百万円",100
115,川崎重工業(株)7012東証PRM掲示板,"10,33006/20","167,921,800株","1,734,632百万円",100
116,(株)日本取引所グループ8697東証PRM掲示板,"1,55406/20","1,044,578,366株","1,623,275百万円",100
117,(株)大林組1802東証PRM掲示板,"2,22106/20","721,509,646株","1,602,473百万円",100
118,東レ(株)3402東証PRM掲示板,970.106/20,"1,631,481,403株","1,582,700百万円",100
119,(株)ニトリホールディングス9843東証PRM掲示板,"13,64006/20","114,443,496株","1,561,009百万円",100
120,(株)大和証券グループ本社8601東証PRM掲示板,991.606/20,"1,569,378,772株","1,556,196百万円",100
121,三菱ＨＣキャピタル(株)8593東証PRM掲示板,"1,05906/20","1,466,912,244株","1,553,460百万円",100
122,レーザーテック(株)6920東証PRM掲示板,"16,47006/20","94,286,400株","1,552,897百万円",100
